bird_name,item_taxon,diet_percentage
Golden-crowned Kinglet,Unid. Animalia,10.357142857142858
Ruby-crowned Kinglet,Arthropoda [arthropods],60
Ruby-crowned Kinglet,Tracheophyta [vascular plants],5.3375
Ruby-crowned Kinglet,Unid. Animalia,34.5
Western Bluebird,Arthropoda [arthropods],51.42333333333333
Western Bluebird,Tracheophyta [vascular plants],9.511111111111113
Western Bluebird,Unid. Animalia,38.78888888888888
Townsend's Solitaire,Arthropoda [arthropods],13.343750000000002
Townsend's Solitaire,Tracheophyta [vascular plants],55.0125
Townsend's Solitaire,Unid. Animalia,31.299999999999997
Swainson's Thrush,Arthropoda [arthropods],76.55000000000001
Swainson's Thrush,Mollusca [molluscs],1.1
Swainson's Thrush,Tracheophyta [vascular plants],22.4
Hermit Thrush,Arthropoda [arthropods],36.46818181818182
Hermit Thrush,Tracheophyta [vascular plants],29.80818181818182
Hermit Thrush,Unid. Animalia,33.72363636363636
American Robin,Arthropoda [arthropods],32.15833333333333
American Robin,Tracheophyta [vascular plants],43.125
American Robin,Unid. Animalia,24.70833333333333
Varied Thrush,Arthropoda [arthropods],3.78
Varied Thrush,Tracheophyta [vascular plants],75.84
Varied Thrush,Unid. Animalia,20.42
European Starling,Arthropoda [arthropods],17.78148103333334
European Starling,Tracheophyta [vascular plants],49.45381589166667
European Starling,Unid. Animalia,25.31085833333333
European Starling,Unid. Unknown,7.227272500000001
American Pipit,Arthropoda [arthropods],92.69148379999996
American Pipit,Tracheophyta [vascular plants],6.961294049999999
Cedar Waxwing,Arthropoda [arthropods],17.169999999999998
Cedar Waxwing,Tracheophyta [vascular plants],79.890102455
Cedar Waxwing,Unid. Animalia,2.95
Orange-crowned Warbler,Arthropoda [arthropods],92.8
Orange-crowned Warbler,Tracheophyta [vascular plants],6.7
Yellow Warbler,Arthropoda [arthropods],86.13125000000001
Yellow Warbler,Tracheophyta [vascular plants],1.2125
Yellow Warbler,Unid. Animalia,10
Yellow Warbler,Unid. Non-biological,2.5
Yellow-rumped Warbler,Arthropoda [arthropods],74.93846153846154
Yellow-rumped Warbler,Tracheophyta [vascular plants],9.276923076923076
Yellow-rumped Warbler,Unid. Animalia,15.853846153846153
Black-throated Gray Warbler,Unid. Animalia,100
Townsend's Warbler,Arthropoda [arthropods],95.5
Townsend's Warbler,Tracheophyta [vascular plants],3.95
Hermit Warbler,Tracheophyta [vascular plants],7.9
Hermit Warbler,Unid. Animalia,90.6
Hermit Warbler,Unid. Non-biological,1.5
Palm Warbler,Arthropoda [arthropods],99.99999995
MacGillivray's Warbler,Arthropoda [arthropods],42.00000000000001
MacGillivray's Warbler,Tracheophyta [vascular plants],7.049999999999999
MacGillivray's Warbler,Unid. Animalia,50
Common Yellowthroat,Arthropoda [arthropods],99.6666664
Wilson's Warbler,Arthropoda [arthropods],77.3
Wilson's Warbler,Tracheophyta [vascular plants],6.583333333333333
Wilson's Warbler,Unid. Animalia,15.95
Western Tanager,Arthropoda [arthropods],66.85000000000001
Western Tanager,Tracheophyta [vascular plants],8.925
Western Tanager,Unid. Animalia,23.75
Spotted Towhee,Arthropoda [arthropods],6
Spotted Towhee,Tracheophyta [vascular plants],61.600000000000016
Spotted Towhee,Unid. Animalia,17.666666666666668
Chipping Sparrow,Arthropoda [arthropods],30.5875
Chipping Sparrow,Tracheophyta [vascular plants],48.2625
Chipping Sparrow,Unid. Animalia,20.625
Savannah Sparrow,Arthropoda [arthropods],12.903333333333334
Savannah Sparrow,Mollusca [molluscs],1.2983333333333331
