bird_name,item_taxon,diet_percentage
Northern Pintail,"Poales [grasses, sedges, and allies]",31.424
Northern Pintail,Unid. Animalia,11.196999999999996
Northern Pintail,Unid. Bivalvia,2.152
Northern Pintail,Unid. Gastropoda,1.075
Northern Pintail,Unid. Magnoliopsida,9.28
Northern Pintail,Unid. Tracheophyta,35.482
Green-winged Teal,Alismatales [water plantains and allies],3.309090909090909
Green-winged Teal,Amphipoda [amphipods],1.0909090909090908
Green-winged Teal,"Caryophyllales [pinks, cactuses, and allies]",7.497272727272729
Green-winged Teal,Diptera [flies],2.8181818181818183
Green-winged Teal,"Poales [grasses, sedges, and allies]",25.63272727272728
Green-winged Teal,Unid. Animalia,4.369090909090909
Green-winged Teal,Unid. Gastropoda,1.6536363636363631
Green-winged Teal,Unid. Magnoliopsida,5.016363636363636
Green-winged Teal,Unid. Malacostraca,4
Green-winged Teal,Unid. Ostracoda,1.2963636363636364
Green-winged Teal,Unid. Plantae,3.5909090909090904
Green-winged Teal,Unid. Tracheophyta,35.57272727272727
Canvasback,Alismatales [water plantains and allies],27.30866666666667
Canvasback,Diptera [flies],2.2
Canvasback,Odonata nymph [dragonflies and damselflies],1.0719999999999998
Canvasback,"Poales [grasses, sedges, and allies]",8.745333333333331
Canvasback,Trichoptera larva [caddisflies],1.4986666666666666
Canvasback,Trichoptera nymph [caddisflies],1.8
Canvasback,Unid. Animalia,5.566666666666666
Canvasback,Unid. Gastropoda,4.712
Canvasback,Unid. Magnoliopsida,3.527333333333333
Canvasback,Unid. Tracheophyta,22.413999999999994
Canvasback,Veneroida,19.127333333333336
Redhead,Alismatales [water plantains and allies],19.45
Redhead,"Caryophyllales [pinks, cactuses, and allies]",4.666666666666667
Redhead,Charales,8.148
Redhead,Diptera [flies],6.666666666666667
Redhead,Diptera larva [flies],1.354666666666667
Redhead,"Poales [grasses, sedges, and allies]",8.534666666666668
Redhead,Trichoptera larva [caddisflies],4.733333333333333
Redhead,Trichoptera nymph [caddisflies],3.5533333333333337
Redhead,Unid. Animalia,5.566666666666666
Redhead,Unid. Gastropoda,1.112
Redhead,Unid. Magnoliopsida,2.4866666666666664
Redhead,Unid. Tracheophyta,32.086
Ring-necked Duck,Alismatales [water plantains and allies],2.215
Ring-necked Duck,Basommatophora,5.366666666666666
Ring-necked Duck,"Caryophyllales [pinks, cactuses, and allies]",4.831666666666666
Ring-necked Duck,Ceratophyllales [coontails],1.5516666666666667
Ring-necked Duck,Charales,3.355
Ring-necked Duck,Commelinales [spiderworts and allies],1.18
Ring-necked Duck,Diptera [flies],3.2416666666666667
Ring-necked Duck,"Nymphaeales [water-lilies, fanworts, and allies]",3.8366666666666673
Ring-necked Duck,Odonata nymph [dragonflies and damselflies],1.1625
Ring-necked Duck,"Poales [grasses, sedges, and allies]",27.2325
Ring-necked Duck,"Saxifragales [saxifrages, stonecrops, and allies]",1.01
Ring-necked Duck,Trichoptera [caddisflies],9.879166666666666
Ring-necked Duck,Unid. Animalia,10.6075
Ring-necked Duck,Unid. Magnoliopsida,1.0675
Ring-necked Duck,Unid. Polychaeta,2.245
Ring-necked Duck,Unid. Tracheophyta,26.617500000000003
Ring-necked Duck,Veneroida,1.6191666666666666
Greater Scaup,Alismatales [water plantains and allies],10.086428571428572
Greater Scaup,Basommatophora,1.5964285714285713
Greater Scaup,Charales,1.7292857142857143
